club_name,league_name
IA Sud América,Uruguay
IF Brommapojkarna,Sweden
IF Elfsborg,Sweden
IF Limhamn Bunkeflo,Sweden
IF Sylvia,Sweden
IFK Göteborg,Sweden
IFK Norrköping,Sweden
IFK Värnamo,Sweden
IK Brage,Sweden
IK Frej,Sweden
IK Oddevold,Sweden
IK Sirius,Sweden
IK Start,Norway
IK Start,Norway
IL Hødd,Norway
IL Hødd,Norway
Ikast FS,Denmark
Ikast FS,Denmark
Indios de Ciudad Juárez,Mexico
Indy Eleven,Usa
Inter Miami CF,Usa
Inverness Caledonian Thistle FC,Scotland
Ionikos FC,Greece
Iraklis Thessaloniki FC,Greece
Irapuato FC,Mexico
Jacksonville Armada FC,Usa
Jagiellonia Białystok,Polonia
Jaguares de Chiapas,Mexico
Joinville Esporte Clube,Brazil
Jönköpings Södra IF,Sweden
K. Beringen-Heusden-Zolder,Belgium
KAA Gent,Belgium
KAS Eupen,Belgium
KFC Dessel Sport,Belgium
KFC Verbroedering Geel,Belgium
KFC Vigor Wuitens Hamme,Belgium
KFCO Beerschot Wilrijk,Belgium
KGHM Zagłębie Lubin,Polonia
KKS Lech Poznań,Polonia
KMSK Deinze,Belgium
KRC Genk,Belgium
KRC Mechelen,Belgium
KS Amica Wronki,Polonia
KS Cracovia,Polonia
KS Górnik Polkowice,Polonia
KS Górnik Zabrze,Polonia
KS Lechia Gdańsk,Polonia
KS Polonia Bytom,Polonia
KS Polonia Warsaw,Polonia
KS Ruch Chorzów,Polonia
KSK Beveren,Belgium
KSK Heist,Belgium
KSV Roeselare,Belgium
KSV Waregem,Belgium
KSZO Ostrowiec Świętokrzyski,Polonia
KV Kortrijk,Belgium
KV Mechelen,Belgium
KV Oostende,Belgium
KV Woluwe-Zaventem,Belgium
KVC Westerlo,Belgium
KVV Coxyde,Belgium
Kalamata FC,Greece
Kallithea FC,Greece
Kalmar FF,Sweden
Kapfenberger SV,Austria
Kaposvári Rákóczi FC,Hungary
Kaposvári Rákóczi FC,Hungary
Kardemir Karabükspor,Turkey
Kasımpaşa SK,Turkey
Kavala FC,Greece
Kayseri Erciyesspor,Turkey
Kayserispor,Turkey
Kecskeméti TE,Hungary
Kecskeméti TE,Hungary
Kilmarnock FC,Scotland
Kisvárda FC,Hungary
Kisvárda FC,Hungary
Kocaelispor,Turkey
Kongsvinger IL Toppfotball,Norway
Kongsvinger IL Toppfotball,Norway
Konyaspor,Turkey
Korona Kielce,Polonia
Kristiansund BK,Norway
Kristiansund BK,Norway
LA Galaxy,Usa
LA Galaxy II,Usa
LASK,Austria
Landskrona BoIS,Sweden
Las Vegas Lights FC,Usa
Legia Warsaw,Polonia
Leones Negros UdeG,Mexico
Levadiakos FC,Greece
Lierse Kempenzonen,Belgium
Lierse SK,Belgium
Lillestrøm SK,Norway
Lillestrøm SK,Norway
Liverpool FC,Uruguay
Liverpool FC,Uruguay
Livingston FC,Scotland
Ljungskile SK,Sweden
Lobos de la BUAP,Mexico
Lommel SK,Belgium
Londrina Esporte Clube,Brazil
Los Angeles Football Club,Usa
Loudoun United FC,Usa
Louisville City FC,Usa
Lunds BK,Sweden
Luverdense Esporte Clube,Brazil
Lyn Fotball,Norway
Lyn Fotball,Norway
Lyngby BK,Denmark
Lyngby BK,Denmark
Løv-Ham Fotball,Norway
Løv-Ham Fotball,Norway
MKE Ankaragücü,Turkey
MKS Arka Gdynia,Polonia
MKS Miedź Legnica,Polonia
MKS Pogoń Szczecin,Polonia
MKS Sandecja Nowy Sącz,Polonia
MKS Świt Nowy Dwór Mazowiecki,Polonia
MOL Fehérvár FC,Hungary
MOL Fehérvár FC,Hungary
MTK Budapest FC,Hungary
MTK Budapest FC,Hungary
Macaé Esporte FC,Brazil
Malatyaspor,Turkey
Malmö FF,Sweden
Manisaspor,Turkey
Mazatlán FC,Mexico
Memphis 901 FC,Usa
Mersin İdmanyurdu,Turkey
Mezőkövesdi SE,Hungary
Mezőkövesdi SE,Hungary
Miami FC,Usa
Miami Fusion FC,Usa
Milwaukee Wave United,Usa
Minnesota Thunder,Usa
Minnesota United FC,Usa
Minnesota United FC,Usa
Mjällby AIF,Sweden
Mjøndalen IF,Norway
Mjøndalen IF,Norway
Mogi Mirim Esporte Clube,Brazil
Molde FK,Norway
Molde FK,Norway
Monarcas Morelia,Mexico
Montevideo City Torque,Uruguay
Montevideo City Torque,Uruguay
Montevideo Wanderers FC,Uruguay
Montevideo Wanderers FC,Uruguay
Moss FK,Norway
Moss FK,Norway
Motherwell FC,Scotland
NK Croatia Sesvete,Croatia
NK Hrvatski Dragovoljac,Croatia
NK Inter Zaprešić,Croatia
NK Istra 1961,Croatia
NK Kamen Ingrad,Croatia
NK Karlovac,Croatia
NK Lokomotiva,Croatia
NK Lučko,Croatia
NK Međimurje,Croatia
NK Osijek,Croatia
NK Rudeš,Croatia
NK Slaven Belupo,Croatia
NK Varaždin,Croatia
NK Varaždin,Croatia
NK Veres Rivne,Ukraine
NK Zadar,Croatia
NK Zagreb,Croatia
NY Red Bulls,Usa
Nashville SC,Usa
Nashville SC,Usa
Neuchâtel Xamax FCS,Switzerland
New England Revolution,Usa
New England Revolution II,Usa
New Mexico United,Usa
New York City FC,Usa
New York Cosmos,Usa
New York Red Bulls II,Usa
Newell's Old Boys,Argentina
Niki Volos FC,Greece
Norrby IF,Sweden
North Carolina FC,Usa
North Texas SC,Usa
Nyíregyháza Spartacus FC,Hungary
Nyíregyháza Spartacus FC,Hungary
O'Higgins FC,Chile
OFI Crete FC,Greece
OFK Bačka Bačka Palanka,Serbia
OFK Beograd,Serbia
OH Leuven,Belgium
OKC Energy FC,Usa
Oakland Roots SC,Usa
Odds BK,Norway
Odds BK,Norway
Odense BK,Denmark
Odense BK,Denmark
Odra Wodzisław Śląski,Polonia
Oeste FC,Brazil
Olympiacos FC,Greece
Olympiacos Volou 1937 FC,Greece
Operário Ferroviário Esporte Clube,Brazil
Orange County SC,Usa
Orduspor,Turkey
Orlando City B,Usa
Orlando City SC,Usa
Orlando City SC,Usa
Oskarshamns AIK,Sweden
Osmanlıspor FK,Turkey
PAOK FC,Greece
PAS Giannina,Greece
PAS Lamia 1964,Greece
Paksi FC,Hungary
Paksi FC,Hungary
Panachaiki FC,Greece
Panathinaikos FC,Greece
Panetolikos FC,Greece
Paniliakos FC,Greece
Panionios FC,Greece
Panserraikos FC,Greece
Panthrakikos FC,Greece
Paraná Clube,Brazil
Partick Thistle FC,Scotland
Paysandu SC,Brazil
Penn FC,Usa
Philadelphia Union,Usa
Philadelphia Union II,Usa
Phoenix FC,Usa
Phoenix Rising FC,Usa
Pittsburgh Riverhounds,Usa
Platanias FC,Greece
Portland Timbers,Usa
Portland Timbers,Usa
Portland Timbers 2,Usa
Proodeftiki FC,Greece
Puskás Akadémia FC,Hungary
Puskás Akadémia FC,Hungary
Pápai FC,Hungary
Pápai FC,Hungary
Pécsi MFC,Hungary
Pécsi MFC,Hungary
Queen of the South FC,Scotland
Querétaro FC,Mexico
Quilmes AC,Argentina
Qviding FIF,Sweden
R. Charleroi SC,Belgium
R.E. Virton,Belgium
R.F.C. Seraing,Belgium
RAA Louviéroise,Belgium
RAEC Mons,Belgium
RB Salzburg,Austria
RE Mouscron,Belgium
RKS Radomsko,Polonia
RNK Split,Croatia
RSC Anderlecht,Belgium
RTS Widzew Łódź,Polonia
RWD Molenbeek,Belgium
RWDM Brussels FC,Belgium
RWS Bruxelles,Belgium
Racing Club,Argentina
Racing Club de Montevideo,Uruguay
Racing Club de Montevideo,Uruguay
Raith Rovers FC,Scotland
Raków Częstochowa,Polonia
Rampla Juniors FC,Uruguay
Rampla Juniors FC,Uruguay
Randers FC,Denmark
Randers FC,Denmark
Rangers FC,Scotland
Ranheim Fotball,Norway
Ranheim Fotball,Norway
Rapid Vienna,Austria
Rayo OKC,Usa
Real Monarchs SLC,Usa
Real Salt Lake,Usa
Red Star,Serbia
Reno 1868 FC,Usa
Richmond Kickers,Usa
Rio Grande Valley FC Toros,Usa
Rochester Rhinos,Usa
Rosario Central,Argentina
Rosenborg BK,Norway
Rosenborg BK,Norway
Ross County FC,Scotland
Royal Antwerp FC,Belgium
Royale Union SG,Belgium
Rákospalotai EAC,Hungary
Rákospalotai EAC,Hungary
SC Corinthians Paulista,Brazil
SC Dnipro-1,Ukraine
SC Eendracht Aalst,Belgium
SC Rheindorf Altach,Austria
SC Tavriya Simferopol,Ukraine
SC Wiener Neustadt,Austria
SCM Gloria Buzău,Romania
SK Austria Kärnten,Austria
SK Brann,Norway
SK Brann,Norway
SK Sturm Graz,Austria
SKN St. Pölten,Austria
SP Zawisza Bydgoszcz,Polonia
SR Brașov,Romania
SSC Farul Constanța,Romania
SV Grödig,Austria
SV Mattersburg,Austria
SV Ried,Austria
SV Zulte Waregem,Belgium
Sacramento Republic FC,Usa
Saint Louis FC,Usa
Sakaryaspor,Turkey
Sampaio Corrêa FC,Brazil
Samsunspor,Turkey
San Antonio FC,Usa
San Antonio Scorpions,Usa
San Diego Loyal SC,Usa
San Francisco Deltas,Usa
San Jose Earthquakes,Usa
San Luis FC,Mexico
San Luis de Quillota,Chile
San Marcos de Arica,Chile
San Martín de San Juan,Argentina
San Martín de Tucumán,Argentina
Sandefjord Fotball,Norway
Sandefjord Fotball,Norway
Sandnes Ulf,Norway
Sandnes Ulf,Norway
Santa Cruz FC,Brazil
Santos FC,Brazil
Sarpsborg 08 FF,Norway
Sarpsborg 08 FF,Norway
Schwarz-Weiß Bregenz,Austria
Seattle Sounders,Usa
Seattle Sounders FC,Usa
Servette FC,Switzerland
Silkeborg IF,Denmark
Silkeborg IF,Denmark
Sint-Truidense V.V.,Belgium
Sivasspor,Turkey
Skövde AIK,Sweden
Sociedade Esportiva Palmeiras,Brazil
Sogndal Fotball,Norway
Sogndal Fotball,Norway
South Georgia Tormenta FC,Usa
Sport Club Internacional,Brazil
Sport Club do Recife,Brazil
Sporting Kansas City,Usa
Sporting Kansas City II,Usa
Sporting Lokeren,Belgium
St Johnstone FC,Scotland
St Mirren FC,Scotland
Stabæk Fotball,Norway
Stabæk Fotball,Norway
Stal Mielec,Polonia
Standard Liège,Belgium
Stirling Albion FC,Scotland
Strømsgodset Toppfotball,Norway
Strømsgodset Toppfotball,Norway
Syracuse Salty Dogs,Usa
Syrianska FC,Sweden
Szczakowianka Jaworzno,Polonia
Szolnoki MÁV FC,Hungary
Szolnoki MÁV FC,Hungary
Szombathelyi Haladás,Hungary
Szombathelyi Haladás,Hungary
São Paulo FC,Brazil
SønderjyskE Fodbold,Denmark
SønderjyskE Fodbold,Denmark
TS Podbeskidzie Bielsko-Biała,Polonia
TSC Bačka Topola,Serbia
TSV Hartberg,Austria
Tacoma Defiance,Usa
Tacuarembó FC,Uruguay
Tacuarembó FC,Uruguay
Tampa Bay Mutiny,Usa
Tampa Bay Rowdies,Usa
Tecos FC,Mexico
Thrasyvoulos FC,Greece
Tiburones Rojos de Veracruz,Mexico
Tigres UANL,Mexico
Trabzonspor,Turkey
Trelleborgs FF,Sweden
Tromsø IL,Norway
Tromsø IL,Norway
Tupi Esporte Clube,Brazil
U Craiova 1948 CS,Romania
Ullensaker/Kisa IL,Norway
Ullensaker/Kisa IL,Norway
Umeå FC,Sweden
Union Omaha SC,Usa
Unión Española,Chile
Unión La Calera,Chile
Unión de Santa Fe,Argentina
Utsiktens BK,Sweden
VSI Tampa Bay FC,Usa
Varbergs BoIS,Sweden
Vasalunds IF,Sweden
Vasas FC,Hungary
Vasas FC,Hungary
Vejle BK,Denmark
Vejle BK,Denmark
Vendsyssel FF,Denmark
Vendsyssel FF,Denmark
Veria FC,Greece
Viborg FF,Denmark
Viborg FF,Denmark
Viking FK,Norway
Viking FK,Norway
Vila Nova FC,Brazil
Virginia Beach Mariners,Usa
Volos N.F.C.,Greece
Vác FC,Hungary
Vác FC,Hungary
Västerås SK,Sweden
Västra Frölunda IF,Sweden
Vålerenga Fotball,Norway
Vålerenga Fotball,Norway
WKS Śląsk Wrocław,Polonia
WSG Wattens,Austria
Waasland-Beveren,Belgium
Wilmington Hammerheads FC,Usa
Wisla Kraków,Polonia
Wisla Plock,Polonia
Wolfsberger AC,Austria
Xanthi FC,Greece
Yeni Malatyaspor,Turkey
Yimpaş Yozgatspor,Turkey
Yverdon-Sport FC,Switzerland
Zagłębie Sosnowiec,Polonia
Zalaegerszegi TE,Hungary
Zalaegerszegi TE,Hungary
Ängelholms FF,Sweden
Åtvidabergs FF,Sweden
Çaykur Rizespor,Turkey
Ñublense,Chile
Örebro SK,Sweden
Örgryte IS,Sweden
Östers IF,Sweden
Östersunds FK,Sweden
Újpest FC,Hungary
Újpest FC,Hungary
İstanbul Başakşehir FK,Turkey
İstanbulspor,Turkey
ŁKS Łódź,Polonia
